user_id,event_type,mood,place_id,rating,distance_km,price_level,is_open,event_time
96,place_click,date,place_76,3.7,4.52,2,False,2025-12-19 07:16:22.641664
100,place_click,budget,place_108,4.5,1.37,3,True,2025-12-20 12:13:22.641690
5,place_click,work,place_153,3.3,0.25,2,False,2025-12-14 15:28:22.641701
19,place_click,budget,place_56,3.1,3.02,2,True,2025-12-18 00:09:22.641709
3,place_click,work,place_149,4.2,1.85,3,True,2025-12-14 01:00:22.641718
45,place_click,budget,place_57,3.0,5.26,1,True,2025-12-23 02:47:22.641726
26,place_click,work,place_265,4.7,0.36,2,True,2025-12-14 12:00:22.641733
90,place_click,date,place_245,3.4,0.3,2,False,2025-12-26 20:46:22.641741
19,place_click,work,place_279,3.6,1.12,3,True,2025-12-23 14:37:22.641748
27,place_click,quick_bite,place_273,3.9,0.52,1,False,2025-12-22 18:08:22.641756
15,place_click,date,place_84,4.2,0.23,3,False,2025-12-15 08:14:22.641917
16,place_click,date,place_163,3.6,0.68,1,False,2025-12-21 01:11:22.641938
62,place_click,date,place_202,3.9,2.31,2,True,2025-12-18 08:00:22.641947
62,place_click,date,place_254,3.4,1.08,1,True,2025-12-17 19:10:22.641955
74,place_click,budget,place_87,4.2,0.07,1,False,2025-12-16 18:17:22.641962
22,place_click,date,place_147,4.2,0.28,1,False,2025-12-26 03:21:22.642540
100,place_click,quick_bite,place_73,3.1,4.46,1,False,2025-12-22 03:08:22.642564
31,place_click,date,place_35,4.9,2.48,2,False,2025-12-18 08:39:22.642574
99,place_click,date,place_79,3.6,0.15,1,False,2025-12-22 17:17:22.642583
57,place_click,date,place_226,4.4,0.87,1,False,2025-12-21 08:22:22.642597
97,place_click,budget,place_238,3.2,1.03,3,False,2025-12-24 12:07:22.642605
95,place_click,date,place_81,3.1,3.6,2,True,2025-12-17 22:27:22.642613
47,place_click,date,place_234,3.5,1.63,2,False,2025-12-26 00:53:22.642620
68,place_click,budget,place_88,3.6,1.1,1,False,2025-12-20 20:32:22.642627
42,place_click,date,place_25,4.1,0.31,2,True,2025-12-15 01:04:22.642634
27,place_click,work,place_146,4.9,2.24,3,True,2025-12-27 05:20:22.642641
77,place_click,budget,place_214,4.9,3.38,1,False,2025-12-23 15:41:22.642651
94,place_click,budget,place_115,4.2,3.82,2,False,2025-12-19 13:05:22.642659
51,place_click,quick_bite,place_36,3.2,0.33,3,False,2025-12-20 13:49:22.642666
45,place_click,budget,place_75,3.1,0.59,1,True,2025-12-26 17:40:22.642673
62,place_click,date,place_269,3.8,0.47,1,False,2025-12-23 03:14:22.642680
6,place_click,quick_bite,place_269,4.7,0.66,3,True,2025-12-17 19:32:22.642687
39,place_click,work,place_208,3.6,1.17,2,True,2025-12-24 07:58:22.642695
14,place_click,work,place_16,3.3,2.43,1,True,2025-12-19 09:09:22.642702
9,place_click,work,place_23,3.1,6.5,2,False,2025-12-17 19:26:22.642709
80,place_click,date,place_254,4.5,0.33,3,True,2025-12-24 07:01:22.642717
17,place_click,date,place_110,3.0,2.53,2,False,2025-12-20 13:09:22.642724
10,place_click,date,place_118,4.4,1.96,1,False,2025-12-19 03:05:22.642731
85,place_click,date,place_32,4.5,0.12,3,True,2025-12-22 04:06:22.642740
56,place_click,date,place_213,3.7,0.18,1,False,2025-12-23 09:44:22.642749
17,place_click,quick_bite,place_238,4.7,1.46,2,False,2025-12-23 21:38:22.642755
27,place_click,work,place_115,3.7,0.1,2,False,2025-12-13 21:31:22.642763
42,place_click,budget,place_296,3.6,0.59,3,True,2025-12-22 23:03:22.642770
92,place_click,work,place_111,4.5,1.52,1,True,2025-12-17 21:21:22.642777
64,place_click,work,place_298,4.8,0.96,2,True,2025-12-20 03:37:22.642784
52,place_click,date,place_111,3.2,1.87,3,False,2025-12-25 15:49:22.642791
40,place_click,date,place_173,4.5,1.24,2,False,2025-12-23 18:44:22.642798
50,place_click,date,place_232,4.5,1.02,2,True,2025-12-26 12:22:22.643043
75,place_click,budget,place_101,4.0,0.84,3,True,2025-12-23 18:40:22.643051
3,place_click,date,place_229,3.1,0.17,1,True,2025-12-21 06:47:22.643059
47,place_click,date,place_142,3.1,1.52,1,True,2025-12-22 13:46:22.643066
71,place_click,quick_bite,place_222,3.6,1.07,3,False,2025-12-13 20:04:22.643073
91,place_click,budget,place_50,4.8,0.43,3,False,2025-12-14 06:49:22.643080
16,place_click,work,place_181,3.8,2.11,1,True,2025-12-22 08:43:22.643089
12,place_click,date,place_49,3.5,0.12,3,False,2025-12-19 07:14:22.643096
100,place_click,budget,place_115,3.6,0.26,1,True,2025-12-18 21:43:22.643103
4,place_click,budget,place_157,4.9,2.48,3,False,2025-12-25 15:51:22.643110
76,place_click,date,place_141,4.3,3.08,2,True,2025-12-22 15:24:22.643117
16,place_click,date,place_50,4.6,0.31,2,False,2025-12-25 07:29:22.643124
68,place_click,work,place_195,4.8,1.16,1,True,2025-12-22 15:59:22.643131
97,place_click,date,place_235,4.6,3.4,1,False,2025-12-20 22:23:22.643138
89,place_click,work,place_231,3.6,0.17,3,False,2025-12-20 00:38:22.643145
65,place_click,budget,place_180,3.5,0.84,3,True,2025-12-20 11:02:22.643152
10,place_click,work,place_26,4.6,2.96,3,False,2025-12-13 19:36:22.643159
70,place_click,date,place_212,3.0,1.07,2,True,2025-12-22 15:06:22.643166
40,place_click,date,place_125,3.8,0.38,2,True,2025-12-17 02:15:22.643174
30,place_click,date,place_279,3.2,0.62,3,True,2025-12-19 07:19:22.643181
3,place_click,date,place_97,4.9,0.59,2,True,2025-12-22 16:38:22.643188
34,place_click,quick_bite,place_130,4.0,1.82,3,False,2025-12-17 06:29:22.643195
46,place_click,budget,place_284,3.7,5.35,3,False,2025-12-21 23:09:22.643207
36,place_click,date,place_262,4.9,0.44,3,True,2025-12-14 04:15:22.643213
86,place_click,quick_bite,place_1,4.0,0.54,1,True,2025-12-27 10:16:22.643222
87,place_click,quick_bite,place_127,3.6,0.06,1,True,2025-12-25 09:39:22.643230
13,place_click,work,place_252,4.2,1.05,3,True,2025-12-14 09:24:22.643237
36,place_click,work,place_297,3.1,0.49,2,True,2025-12-21 19:37:22.643244
65,place_click,date,place_122,4.8,0.41,1,False,2025-12-26 01:23:22.643251
2,place_click,date,place_217,3.3,1.01,2,True,2025-12-26 06:31:22.643258
21,place_click,work,place_268,5.0,0.42,3,False,2025-12-22 12:12:22.643267
38,place_click,work,place_28,4.3,2.15,1,False,2025-12-22 15:11:22.643274
84,place_click,work,place_49,3.5,1.95,2,True,2025-12-14 14:58:22.643281
43,place_click,budget,place_25,3.7,1.5,1,False,2025-12-23 23:46:22.643288
27,place_click,work,place_23,4.3,1.15,2,False,2025-12-24 11:02:22.643295
36,place_click,work,place_247,3.2,2.71,2,False,2025-12-23 06:48:22.643302
85,place_click,work,place_217,3.6,0.31,3,True,2025-12-15 17:26:22.643309
48,place_click,date,place_214,3.1,1.34,1,False,2025-12-24 15:46:22.643316
46,place_click,budget,place_247,4.4,0.03,3,False,2025-12-26 04:59:22.643323
74,place_click,quick_bite,place_246,4.0,0.39,1,True,2025-12-15 12:38:22.643330
93,place_click,quick_bite,place_192,4.3,0.29,2,False,2025-12-15 08:34:22.643337
50,place_click,work,place_234,4.4,0.73,3,True,2025-12-16 11:56:22.643344
70,place_click,date,place_23,4.9,0.22,1,False,2025-12-15 01:39:22.643351
90,place_click,work,place_186,3.7,0.18,2,False,2025-12-24 23:42:22.643358
66,place_click,work,place_254,4.8,3.15,2,True,2025-12-17 18:15:22.643365
95,place_click,quick_bite,place_37,3.5,1.62,3,True,2025-12-22 00:53:22.643372
98,place_click,date,place_161,4.6,1.22,3,False,2025-12-25 00:12:22.643379
94,place_click,date,place_129,4.1,0.42,2,True,2025-12-19 22:56:22.643387
8,place_click,quick_bite,place_75,3.2,3.41,2,False,2025-12-23 01:57:22.643394
48,place_click,budget,place_124,4.8,1.5,1,False,2025-12-25 06:22:22.643401
3,place_click,work,place_245,3.7,0.64,1,True,2025-12-22 19:28:22.643410
23,place_click,budget,place_256,4.5,3.41,1,False,2025-12-16 04:57:22.643416
90,place_click,quick_bite,place_54,4.8,2.27,1,False,2025-12-16 18:42:22.643423
52,place_click,budget,place_162,4.3,0.13,2,True,2025-12-27 06:32:22.643430
42,place_click,quick_bite,place_235,3.3,3.43,1,False,2025-12-23 23:19:22.643439
58,place_click,work,place_21,4.2,0.01,3,True,2025-12-19 08:18:22.643446
36,place_click,work,place_100,3.2,1.63,2,True,2025-12-23 23:11:22.643452
83,place_click,budget,place_4,3.0,0.26,1,False,2025-12-13 19:06:22.643461
99,place_click,work,place_104,4.1,1.77,2,True,2025-12-25 09:57:22.643468
11,place_click,work,place_3,4.3,0.38,2,True,2025-12-24 17:28:22.643475
55,place_click,date,place_14,4.4,0.41,3,False,2025-12-22 14:55:22.643483
40,place_click,date,place_177,3.7,2.06,3,True,2025-12-24 04:47:22.643490
80,place_click,work,place_260,4.3,2.84,1,False,2025-12-24 12:04:22.643497
2,place_click,budget,place_77,4.3,1.26,3,True,2025-12-20 02:59:22.643504
68,place_click,date,place_109,3.2,0.69,3,False,2025-12-15 04:46:22.643512
70,place_click,budget,place_31,3.5,0.42,2,True,2025-12-26 09:25:22.643518
12,place_click,budget,place_156,4.9,0.75,2,True,2025-12-21 04:13:22.643525
65,place_click,quick_bite,place_202,4.8,1.5,1,True,2025-12-14 20:48:22.643532
53,place_click,budget,place_72,4.6,1.05,3,True,2025-12-15 03:37:22.643538
